qid_number,bool_ans,llm_ms,aov,model,scene,seq,semantic,acc
1.0,1,264.83,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,0,354.22,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,1,321.73,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,1,351.17,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,0,310.72,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,1,325.53,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,1,302.78,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,0,301.05,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,0,352.27,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,1,303.05,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,1,306.59,360,LLaVA_7,CUA,4,1,0.8048780487804879
1.0,1,301.96,360,LLaVA_7,CUA,5,1,0.8048780487804879
1.0,0,313.19,360,LLaVA_7,CUA,5,1,0.8048780487804879
1.0,1,304.36,360,LLaVA_7,CUA,5,1,0.8048780487804879
1.0,1,275.12,360,LLaVA_7,CUA,5,1,0.8048780487804879
1.0,0,308.55,360,LLaVA_7,CUA,5,1,0.8048780487804879
1.0,1,264.79,360,LLaVA_7,CUA,5,1,0.8048780487804879
1.0,1,303.64,360,LLaVA_7,CUA,5,1,0.8048780487804879
1.0,0,325.22,360,LLaVA_7,CUA,5,1,0.8048780487804879
1.0,0,263.73,360,LLaVA_7,CUA,2,1,0.8048780487804879
1.0,1,264.13,360,LLaVA_7,CUA,2,1,0.8048780487804879
1.0,1,255.88,360,LLaVA_7,CUA,2,1,0.8048780487804879
1.0,1,263.85,360,LLaVA_7,CUA,2,1,0.8048780487804879
1.0,1,323.68,360,LLaVA_7,CUA,2,1,0.8048780487804879
1.0,1,306.78,360,LLaVA_7,CUA,2,1,0.8048780487804879
1.0,1,321.86,360,LLaVA_7,CUA,2,1,0.8048780487804879
1.0,1,321.39,360,LLaVA_7,CUA,1,1,0.8048780487804879
1.0,1,304.36,360,LLaVA_7,CUA,1,1,0.8048780487804879
1.0,1,304.85,360,LLaVA_7,CUA,1,1,0.8048780487804879
1.0,1,264.37,360,LLaVA_7,CUA,1,1,0.8048780487804879
1.0,1,304.61,360,LLaVA_7,CUA,1,1,0.8048780487804879
1.0,1,304.04,360,LLaVA_7,CUA,1,1,0.8048780487804879
2.0,1,264.84,360,LLaVA_7,GMU,3,1,0.6322789360172538
11.0,1,265.13,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,1,268.91,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,0,323.96,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,0,323.25,360,LLaVA_7,GMU,3,1,0.6322789360172538
4.0,0,321.08,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,322.88,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,1,348.25,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,320.74,360,LLaVA_7,GMU,3,1,0.6322789360172538
14.0,0,321.18,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,307.71,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,305.24,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,304.32,360,LLaVA_7,GMU,3,1,0.6322789360172538
9.0,1,304.64,360,LLaVA_7,GMU,3,1,0.6322789360172538
15.0,1,299.87,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,306.74,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,1,260.63,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,279.98,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,1,262.41,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,1,260.39,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,1,306.49,360,LLaVA_7,GMU,3,1,0.6322789360172538
9.0,1,302.98,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,0,268.04,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,265.75,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,1,307.02,360,LLaVA_7,GMU,3,1,0.6322789360172538
9.0,1,307.17,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,264.22,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,263.13,360,LLaVA_7,GMU,3,1,0.6322789360172538
9.0,1,301.19,360,LLaVA_7,GMU,3,1,0.6322789360172538
14.0,0,299.67,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,0,303.21,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,1,300.43,360,LLaVA_7,GMU,3,1,0.6322789360172538
15.0,1,288.7,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,274.31,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,1,263.11,360,LLaVA_7,GMU,3,1,0.6322789360172538
13.0,1,266.85,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,1,264.24,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,0,263.68,360,LLaVA_7,GMU,3,1,0.6322789360172538
4.0,1,252.75,360,LLaVA_7,GMU,3,1,0.6322789360172538
5.0,1,249.66,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,1,310.09,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,281.03,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,269.95,360,LLaVA_7,GMU,3,1,0.6322789360172538
5.0,0,271.44,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,0,248.87,360,LLaVA_7,GMU,3,1,0.6322789360172538
15.0,1,248.23,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,1,264.42,360,LLaVA_7,GMU,3,1,0.6322789360172538
13.0,1,266.5,360,LLaVA_7,GMU,3,1,0.6322789360172538
13.0,0,269.07,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,270.43,360,LLaVA_7,GMU,3,1,0.6322789360172538
4.0,1,273.07,360,LLaVA_7,GMU,3,1,0.6322789360172538
10.0,1,265.15,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,1,248.64,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,0,250.94,360,LLaVA_7,GMU,3,1,0.6322789360172538
15.0,1,249.63,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,259.69,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,1,246.63,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,254.47,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,269.38,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,1,277.85,360,LLaVA_7,GMU,3,1,0.6322789360172538
4.0,0,265.73,360,LLaVA_7,GMU,3,1,0.6322789360172538
9.0,1,269.75,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,0,260.46,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,259.74,360,LLaVA_7,GMU,3,1,0.6322789360172538
5.0,0,303.32,360,LLaVA_7,GMU,3,1,0.6322789360172538
10.0,0,303.53,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,1,305.14,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,275.15,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,303.39,360,LLaVA_7,GMU,3,1,0.6322789360172538
14.0,0,300.49,360,LLaVA_7,GMU,3,1,0.6322789360172538
1.0,0,309.79,360,LLaVA_7,GMU,3,1,0.6322789360172538
11.0,1,270.75,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,1,304.56,360,LLaVA_7,GMU,3,1,0.6322789360172538
13.0,1,307.91,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,1,323.53,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,1,326.47,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,1,299.18,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,0,300.98,360,LLaVA_7,GMU,3,1,0.6322789360172538
4.0,1,298.91,360,LLaVA_7,GMU,3,1,0.6322789360172538
8.0,0,301.15,360,LLaVA_7,GMU,3,1,0.6322789360172538
5.0,1,306.22,360,LLaVA_7,GMU,3,1,0.6322789360172538
11.0,1,313.36,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,1,302.87,360,LLaVA_7,GMU,3,1,0.6322789360172538
13.0,1,308.55,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,1,306.72,360,LLaVA_7,GMU,3,1,0.6322789360172538
5.0,0,304.12,360,LLaVA_7,GMU,3,1,0.6322789360172538
4.0,0,324.79,360,LLaVA_7,GMU,3,1,0.6322789360172538
11.0,1,326.84,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,323.13,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,320.52,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,1,329.89,360,LLaVA_7,GMU,3,1,0.6322789360172538
11.0,0,321.37,360,LLaVA_7,GMU,3,1,0.6322789360172538
10.0,1,356.45,360,LLaVA_7,GMU,3,1,0.6322789360172538
11.0,0,354.07,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,326.22,360,LLaVA_7,GMU,3,1,0.6322789360172538
9.0,1,322.53,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,1,357.66,360,LLaVA_7,GMU,3,1,0.6322789360172538
14.0,1,362.29,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,1,355.92,360,LLaVA_7,GMU,3,1,0.6322789360172538
15.0,1,349.12,360,LLaVA_7,GMU,3,1,0.6322789360172538
4.0,1,331.66,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,0,321.0,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,311.05,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,302.52,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,0,304.64,360,LLaVA_7,GMU,3,1,0.6322789360172538
9.0,1,306.04,360,LLaVA_7,GMU,3,1,0.6322789360172538
5.0,1,262.79,360,LLaVA_7,GMU,3,1,0.6322789360172538
11.0,1,265.17,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,1,261.88,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,258.53,360,LLaVA_7,GMU,3,1,0.6322789360172538
7.0,1,270.32,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,0,264.43,360,LLaVA_7,GMU,3,1,0.6322789360172538
13.0,0,300.29,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,320.69,360,LLaVA_7,GMU,3,1,0.6322789360172538
4.0,1,262.34,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,0,268.17,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,298.97,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,0,300.83,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,227.43,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,227.17,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,0,245.52,360,LLaVA_7,GMU,3,1,0.6322789360172538
5.0,1,244.33,360,LLaVA_7,GMU,3,1,0.6322789360172538
15.0,1,254.92,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,262.19,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,0,249.59,360,LLaVA_7,GMU,3,1,0.6322789360172538
11.0,1,247.24,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,1,248.46,360,LLaVA_7,GMU,3,1,0.6322789360172538
8.0,0,256.23,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,303.66,360,LLaVA_7,GMU,3,1,0.6322789360172538
4.0,1,304.27,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,0,262.31,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,247.76,360,LLaVA_7,GMU,3,1,0.6322789360172538
9.0,1,255.85,360,LLaVA_7,GMU,3,1,0.6322789360172538
14.0,0,253.69,360,LLaVA_7,GMU,3,1,0.6322789360172538
13.0,0,266.7,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,0,265.89,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,0,263.34,360,LLaVA_7,GMU,3,1,0.6322789360172538
10.0,0,263.93,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,0,263.82,360,LLaVA_7,GMU,3,1,0.6322789360172538
10.0,1,263.28,360,LLaVA_7,GMU,3,1,0.6322789360172538
3.0,0,270.75,360,LLaVA_7,GMU,3,1,0.6322789360172538
5.0,0,273.63,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,1,252.88,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,250.82,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,320.5,360,LLaVA_7,GMU,3,1,0.6322789360172538
8.0,0,321.13,360,LLaVA_7,GMU,3,1,0.6322789360172538
1.0,0,303.76,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,306.31,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,1,307.9,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,0,311.95,360,LLaVA_7,GMU,3,1,0.6322789360172538
12.0,1,324.35,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,322.03,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,0,304.27,360,LLaVA_7,GMU,3,1,0.6322789360172538
10.0,1,303.59,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,0,303.57,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,0,316.37,360,LLaVA_7,GMU,3,1,0.6322789360172538
6.0,0,323.02,360,LLaVA_7,GMU,3,1,0.6322789360172538
10.0,1,324.81,360,LLaVA_7,GMU,3,1,0.6322789360172538
15.0,1,319.61,360,LLaVA_7,GMU,3,1,0.6322789360172538
16.0,1,320.63,360,LLaVA_7,GMU,3,1,0.6322789360172538
4.0,0,305.54,360,LLaVA_7,GMU,3,1,0.6322789360172538
9.0,0,303.36,360,LLaVA_7,GMU,3,1,0.6322789360172538
2.0,1,323.79,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,322.48,360,LLaVA_7,GMU,2,1,0.6322789360172538
1.0,1,305.96,360,LLaVA_7,GMU,2,1,0.6322789360172538
4.0,0,304.27,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,1,322.61,360,LLaVA_7,GMU,2,1,0.6322789360172538
14.0,1,322.66,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,325.16,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,326.52,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,320.89,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,320.64,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,351.46,360,LLaVA_7,GMU,2,1,0.6322789360172538
9.0,1,356.86,360,LLaVA_7,GMU,2,1,0.6322789360172538
6.0,0,263.96,360,LLaVA_7,GMU,2,1,0.6322789360172538
10.0,0,265.26,360,LLaVA_7,GMU,2,1,0.6322789360172538
7.0,1,267.01,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,260.04,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,299.61,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,0,300.14,360,LLaVA_7,GMU,2,1,0.6322789360172538
12.0,1,261.04,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,265.94,360,LLaVA_7,GMU,2,1,0.6322789360172538
1.0,1,251.24,360,LLaVA_7,GMU,2,1,0.6322789360172538
10.0,0,248.5,360,LLaVA_7,GMU,2,1,0.6322789360172538
12.0,0,264.12,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,271.65,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,323.64,360,LLaVA_7,GMU,2,1,0.6322789360172538
14.0,0,326.64,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,304.04,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,0,307.92,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,1,323.83,360,LLaVA_7,GMU,2,1,0.6322789360172538
6.0,0,323.62,360,LLaVA_7,GMU,2,1,0.6322789360172538
8.0,0,264.76,360,LLaVA_7,GMU,2,1,0.6322789360172538
10.0,1,268.28,360,LLaVA_7,GMU,2,1,0.6322789360172538
1.0,1,266.21,360,LLaVA_7,GMU,2,1,0.6322789360172538
4.0,1,264.32,360,LLaVA_7,GMU,2,1,0.6322789360172538
12.0,1,326.75,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,321.86,360,LLaVA_7,GMU,2,1,0.6322789360172538
6.0,0,320.81,360,LLaVA_7,GMU,2,1,0.6322789360172538
14.0,1,320.87,360,LLaVA_7,GMU,2,1,0.6322789360172538
4.0,0,320.66,360,LLaVA_7,GMU,2,1,0.6322789360172538
5.0,0,324.75,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,248.92,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,1,255.33,360,LLaVA_7,GMU,2,1,0.6322789360172538
13.0,1,264.48,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,250.65,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,1,321.98,360,LLaVA_7,GMU,2,1,0.6322789360172538
14.0,1,322.47,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,322.49,360,LLaVA_7,GMU,2,1,0.6322789360172538
6.0,0,324.06,360,LLaVA_7,GMU,2,1,0.6322789360172538
13.0,1,263.97,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,248.97,360,LLaVA_7,GMU,2,1,0.6322789360172538
4.0,0,271.28,360,LLaVA_7,GMU,2,1,0.6322789360172538
10.0,1,269.01,360,LLaVA_7,GMU,2,1,0.6322789360172538
1.0,1,304.72,360,LLaVA_7,GMU,2,1,0.6322789360172538
8.0,0,305.02,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,303.73,360,LLaVA_7,GMU,2,1,0.6322789360172538
9.0,1,304.94,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,324.11,360,LLaVA_7,GMU,2,1,0.6322789360172538
6.0,0,325.5,360,LLaVA_7,GMU,2,1,0.6322789360172538
13.0,1,321.36,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,0,322.35,360,LLaVA_7,GMU,2,1,0.6322789360172538
10.0,1,300.52,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,299.86,360,LLaVA_7,GMU,2,1,0.6322789360172538
5.0,0,302.75,360,LLaVA_7,GMU,2,1,0.6322789360172538
10.0,1,301.14,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,275.09,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,0,274.27,360,LLaVA_7,GMU,2,1,0.6322789360172538
1.0,1,261.04,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,249.35,360,LLaVA_7,GMU,2,1,0.6322789360172538
12.0,1,266.54,360,LLaVA_7,GMU,2,1,0.6322789360172538
13.0,0,268.09,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,263.4,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,0,262.91,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,1,264.33,360,LLaVA_7,GMU,2,1,0.6322789360172538
6.0,0,271.87,360,LLaVA_7,GMU,2,1,0.6322789360172538
4.0,0,322.96,360,LLaVA_7,GMU,2,1,0.6322789360172538
8.0,0,320.49,360,LLaVA_7,GMU,2,1,0.6322789360172538
5.0,0,306.41,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,303.07,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,322.09,360,LLaVA_7,GMU,2,1,0.6322789360172538
5.0,0,323.86,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,1,328.41,360,LLaVA_7,GMU,2,1,0.6322789360172538
5.0,0,328.89,360,LLaVA_7,GMU,2,1,0.6322789360172538
13.0,0,322.53,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,324.75,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,264.59,360,LLaVA_7,GMU,2,1,0.6322789360172538
14.0,0,262.6,360,LLaVA_7,GMU,2,1,0.6322789360172538
7.0,1,268.22,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,268.54,360,LLaVA_7,GMU,2,1,0.6322789360172538
10.0,0,274.34,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,303.76,360,LLaVA_7,GMU,2,1,0.6322789360172538
12.0,1,302.59,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,0,300.4,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,0,321.66,360,LLaVA_7,GMU,2,1,0.6322789360172538
14.0,0,320.94,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,320.41,360,LLaVA_7,GMU,2,1,0.6322789360172538
8.0,0,326.6,360,LLaVA_7,GMU,2,1,0.6322789360172538
13.0,1,320.71,360,LLaVA_7,GMU,2,1,0.6322789360172538
15.0,1,324.9,360,LLaVA_7,GMU,2,1,0.6322789360172538
9.0,1,320.85,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,320.8,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,0,250.43,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,249.28,360,LLaVA_7,GMU,2,1,0.6322789360172538
1.0,1,270.85,360,LLaVA_7,GMU,2,1,0.6322789360172538
5.0,0,268.63,360,LLaVA_7,GMU,2,1,0.6322789360172538
7.0,1,250.68,360,LLaVA_7,GMU,2,1,0.6322789360172538
12.0,1,262.37,360,LLaVA_7,GMU,2,1,0.6322789360172538
5.0,1,353.54,360,LLaVA_7,GMU,2,1,0.6322789360172538
6.0,1,351.2,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,303.0,360,LLaVA_7,GMU,2,1,0.6322789360172538
4.0,1,301.52,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,0,323.09,360,LLaVA_7,GMU,2,1,0.6322789360172538
10.0,1,320.8,360,LLaVA_7,GMU,2,1,0.6322789360172538
13.0,1,300.9,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,0,305.03,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,1,263.57,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,264.08,360,LLaVA_7,GMU,2,1,0.6322789360172538
15.0,1,248.76,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,250.56,360,LLaVA_7,GMU,2,1,0.6322789360172538
15.0,1,268.22,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,261.72,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,300.84,360,LLaVA_7,GMU,2,1,0.6322789360172538
4.0,0,301.59,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,1,304.23,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,1,300.72,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,260.6,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,262.01,360,LLaVA_7,GMU,2,1,0.6322789360172538
4.0,0,303.05,360,LLaVA_7,GMU,2,1,0.6322789360172538
9.0,1,303.07,360,LLaVA_7,GMU,2,1,0.6322789360172538
10.0,1,304.07,360,LLaVA_7,GMU,2,1,0.6322789360172538
14.0,0,307.34,360,LLaVA_7,GMU,2,1,0.6322789360172538
6.0,1,325.24,360,LLaVA_7,GMU,2,1,0.6322789360172538
10.0,0,323.61,360,LLaVA_7,GMU,2,1,0.6322789360172538
13.0,1,304.8,360,LLaVA_7,GMU,2,1,0.6322789360172538
15.0,1,308.03,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,1,307.32,360,LLaVA_7,GMU,2,1,0.6322789360172538
3.0,0,308.07,360,LLaVA_7,GMU,2,1,0.6322789360172538
8.0,0,264.77,360,LLaVA_7,GMU,2,1,0.6322789360172538
9.0,1,264.04,360,LLaVA_7,GMU,2,1,0.6322789360172538
7.0,1,264.36,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,252.14,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,306.62,360,LLaVA_7,GMU,2,1,0.6322789360172538
2.0,0,302.85,360,LLaVA_7,GMU,2,1,0.6322789360172538
12.0,1,302.17,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,302.0,360,LLaVA_7,GMU,2,1,0.6322789360172538
6.0,0,300.81,360,LLaVA_7,GMU,2,1,0.6322789360172538
11.0,1,300.79,360,LLaVA_7,GMU,2,1,0.6322789360172538
7.0,1,265.44,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,267.13,360,LLaVA_7,GMU,2,1,0.6322789360172538
15.0,1,283.31,360,LLaVA_7,GMU,2,1,0.6322789360172538
16.0,1,266.17,360,LLaVA_7,GMU,2,1,0.6322789360172538
